Wed 28 Aug 2024 09:19:47 IDT

SLURM_JOBID:		 962766
SLURM_JOB_NODELIST:	 ise-cpu-intl-15 


executing python ./train_darpatc.py --scene trace
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-08-28 09:20:07
Data(edge_index=[2, 3572351], test_mask=[1271939], train_mask=[1271939], x=[1271939, 46], y=[1271939])
feature  46 ; label  11
1 100.57282441286259 0.9226338684480938 2024-08-28 09:22:46
2 7.916744678791089 0.9437410127372461 2024-08-28 09:24:57
3 15.237261676264543 0.9529222706434821 2024-08-28 09:27:09
4 23.81356429443173 0.9038397281630645 2024-08-28 09:29:21
5 4.840553505743925 0.9038310799495888 2024-08-28 09:31:33
6 4.175644038555077 0.8967709929485612 2024-08-28 09:33:44
7 3.73155459522653 0.8845510673074731 2024-08-28 09:35:56
8 2.6261384837768307 0.90331218714105 2024-08-28 09:38:08
9 1.79661236700327 0.9107040510590524 2024-08-28 09:40:22
10 1.908497671668344 0.8398869757118855 2024-08-28 09:42:33
11 2.0163214770138094 0.8110176667277283 2024-08-28 09:44:45
12 5.049192885953226 0.8047657945860611 2024-08-28 09:46:57
13 1.6573457144689494 0.8090152122075036 2024-08-28 09:49:08
14 1.3160550604019032 0.8383774693597728 2024-08-28 09:51:20
15 1.3640529574674938 0.939257307150736 2024-08-28 09:53:32
16 1.2397447828798478 0.8059647514542757 2024-08-28 09:55:44
17 1.1489942562090667 0.8113478712422529 2024-08-28 09:57:56
18 1.0243238253086762 0.7917722469395152 2024-08-28 10:00:08
19 0.8841525724370777 0.8043726939735317 2024-08-28 10:02:20
20 0.9253274023404338 0.7582101028429823 2024-08-28 10:04:33
21 0.8924528410867779 0.630363563032504 2024-08-28 10:06:46
22 1.0156864012660038 0.6297251676377562 2024-08-28 10:08:59
23 0.9932859464345047 0.6301685851286893 2024-08-28 10:11:11
24 1.1671218410995028 0.6273893637981067 2024-08-28 10:13:23
25 1.0584675923088687 0.6313274457344259 2024-08-28 10:15:35
26 1.0322362788798414 0.6306245818392234 2024-08-28 10:17:49
27 0.9827900224998076 0.6229882093402278 2024-08-28 10:20:05
28 1.0304945409549822 0.6247029142120809 2024-08-28 10:22:17
29 1.087203754013779 0.5939836737453604 2024-08-28 10:24:29
516428
755511
1 1.2236301353891912 0.7733720867187681 2024-08-28 10:29:01
2 0.9957801157394774 0.7824188463832326 2024-08-28 10:29:59
112365
404063
1 3.1416721414544737 0.014310505940461888 2024-08-28 10:31:53
2 2.48659049133717 0.014586392559960842 2024-08-28 10:32:12
3 2.073048257384298 0.016499799759711654 2024-08-28 10:32:30
4 1.8602875083617287 0.01860009789525208 2024-08-28 10:32:49
5 1.7410916899433815 0.42061140034708316 2024-08-28 10:33:07
6 1.6716561417275593 0.41961464868953857 2024-08-28 10:33:25
7 1.6244431324626396 0.41948115516397455 2024-08-28 10:33:44
8 1.5917617776909174 0.41903617674542787 2024-08-28 10:34:02
9 1.5697754900260161 0.4197036443732479 2024-08-28 10:34:20
10 1.550982975898245 0.4205313042317448 2024-08-28 10:34:39
11 1.5363636521521171 0.41966804609976416 2024-08-28 10:34:57
12 1.526560149359161 0.4195790504160548 2024-08-28 10:35:15
13 1.5158638922441352 0.42044230854803544 2024-08-28 10:35:33
14 1.5102837854035784 0.4209495839451787 2024-08-28 10:35:52
15 1.5048028043257147 0.42025541761224583 2024-08-28 10:36:10
16 1.4972224539963144 0.42102968006051705 2024-08-28 10:36:29
17 1.4905141290567834 0.42448271258843945 2024-08-28 10:36:47
18 1.4859453575190888 0.4239665376229253 2024-08-28 10:37:06
19 1.4824317446942377 0.4218751390557558 2024-08-28 10:37:24
20 1.496264093072754 0.42634272237796467 2024-08-28 10:37:43
21 1.4825590612021253 0.4186445957371068 2024-08-28 10:38:02
22 1.4795775432291312 0.41837760868597873 2024-08-28 10:38:21
23 1.477255469668571 0.41909847372402437 2024-08-28 10:38:40
24 1.4728320124406806 0.420495705958261 2024-08-28 10:38:59
25 1.4695230641002432 0.42047790682151914 2024-08-28 10:39:17
26 1.4691934757969363 0.4205580029368576 2024-08-28 10:39:36
27 1.4664692748867612 0.42177724380367554 2024-08-28 10:39:54
28 1.4674765685793607 0.42177724380367554 2024-08-28 10:40:13
29 1.456184336028674 0.42465180438748723 2024-08-28 10:40:31
30 1.4636258984027937 0.42121657099630666 2024-08-28 10:40:50
31 1.4602084732955316 0.42102078049214614 2024-08-28 10:41:08
32 1.4572424395234076 0.42104747919725893 2024-08-28 10:41:27
33 1.4458888551026432 0.4243136207893917 2024-08-28 10:41:46
34 1.437148064959751 0.4210741779023717 2024-08-28 10:42:05
