Sun 01 Sep 2024 10:29:54 IDT

SLURM_JOBID:		 986863
SLURM_JOB_NODELIST:	 ise-cpu-intl-19 


executing python ./train_darpatc.py --scene trace
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-09-01 10:30:03
Data(edge_index=[2, 3572351], test_mask=[1271939], train_mask=[1271939], x=[1271939, 46], y=[1271939])
feature  46 ; label  11
1 157.82064967532605 0.9268141003617312 2024-09-01 10:33:20
2 8.797706201421963 0.9325848173536624 2024-09-01 10:36:01
3 3.6061298368195334 0.9452583811016094 2024-09-01 10:38:36
4 2.375796840606434 0.9334095424387491 2024-09-01 10:41:13
5 2.2067737689814737 0.9496249427055857 2024-09-01 10:43:51
6 1.4804522072810355 0.9390450328199701 2024-09-01 10:46:32
7 1.8163160006931762 0.9131027509967066 2024-09-01 10:49:12
8 3.542679157405501 0.765447085119648 2024-09-01 10:51:50
9 1.4154000512150438 0.8625673086523803 2024-09-01 10:54:30
10 1.3382592026938602 0.6648864450260586 2024-09-01 10:57:10
11 1.0174280634480959 0.7830965164209919 2024-09-01 10:59:49
12 0.9383008034312866 0.6605607658857854 2024-09-01 11:02:27
13 0.828659284479315 0.662497179503105 2024-09-01 11:05:04
14 0.8781060590367472 0.6327268839150305 2024-09-01 11:07:44
15 0.8814856094517756 0.655457533733929 2024-09-01 11:10:22
16 1.0281946106031257 0.6540580955533245 2024-09-01 11:13:00
17 1.0705487811807457 0.6274082326275081 2024-09-01 11:15:38
18 0.9458885508064512 0.6539967718577699 2024-09-01 11:18:16
19 0.8709144899532781 0.7621473985780765 2024-09-01 11:20:55
20 0.9737582503097205 0.5780568093281203 2024-09-01 11:23:33
21 0.9104867437604499 0.6288957253453192 2024-09-01 11:26:12
22 0.9386174496072222 0.5988526179321493 2024-09-01 11:28:51
23 0.9072947955205272 0.6298116497725127 2024-09-01 11:31:30
24 0.912447370539581 0.6335594710123678 2024-09-01 11:34:08
25 0.9388507475572185 0.6312865632707229 2024-09-01 11:36:46
26 0.934674950367037 0.6315916093460456 2024-09-01 11:39:24
27 0.9461962659725458 0.6242594967211478 2024-09-01 11:42:01
28 0.938142769237035 0.6250488427511067 2024-09-01 11:44:38
29 0.9382530798173104 0.6295946582343964 2024-09-01 11:47:17
471133
800806
1 0.9096155426211262 0.8484461924764345 2024-09-01 11:51:23
71402
399731
1 3.34296984367486 0.045811041707515196 2024-09-01 11:52:54
2 3.1699102006437117 0.045572953138567546 2024-09-01 11:53:14
3 2.234909998950182 0.05854177754124534 2024-09-01 11:53:33
4 1.876446963879198 0.08123021764096244 2024-09-01 11:53:53
5 1.6905039994176578 0.4662614492591244 2024-09-01 11:54:12
